"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000605",2118.53443219628,0.00610399385409306,0.0423767108491672,0.144041237079942,0.885467906673786,0.957486460426256
"ENSMUSG00000024758",4188.22165569058,0.0564175236631259,0.0381033163327566,1.48064601963858,0.138700925417069,0.364308748175159
"ENSMUSG00000007379",44.2005412853348,-0.0455527873382094,0.180564831079824,-0.252279400511119,0.800825109308064,0.918077811340529
"ENSMUSG00000075595",1049.25231797273,-0.0727586297938357,0.0513506420230706,-1.41689815214281,0.156512706859089,0.390053011843628
"ENSMUSG00000021962",802.541952382756,-0.0861051557509147,0.0519677041299682,-1.65689743644573,0.0975402127616324,0.29124440953341
"ENSMUSG00000006445",162.295374061773,0.559009229689365,0.106195848522126,5.26394616615255,1.40995751187175e-07,5.27850678338818e-06
"ENSMUSG00000022965",3118.43293552755,0.146918177884682,0.0525550650925687,2.79550938859852,0.00518179966835029,0.0363178847960687
"ENSMUSG00000050910",19.0121963412674,-0.00310476683642988,0.286114523302649,-0.0108514828278944,0.991341939311333,0.997536965158544
"ENSMUSG00000024985",95.3456826343473,-0.111709804126679,0.124833468777877,-0.894870624202959,0.370856251621941,0.636961249727518
"ENSMUSG00000058761",908.504295125557,0.0158644701269099,0.0597829542366583,0.26536778467167,0.790726150872931,0.91487897621816
"ENSMUSG00000057766",12.1490218157431,0.969983494863951,0.376728812870265,2.57475261176263,0.0100311805848069,0.0594351188688858
"ENSMUSG00000024769",550.325884793938,-0.0343530248013801,0.0727729684745354,-0.472057489497641,0.636885754410076,0.834701660375017
"ENSMUSG00000043822",295.345474140722,-0.166659666392574,0.146908396621524,-1.13444615981981,0.256607445828423,0.522952679710161
"ENSMUSG00000055334",232.106427401385,0.161028946723477,0.0885350202231542,1.81881639963034,0.0689394455420389,0.233118138420783
"ENSMUSG00000022160",357.711268857622,-0.00124588450529498,0.0729458331636824,-0.0170795842786435,0.986373125923261,0.995915931329449
"ENSMUSG00000032306",238.102534853929,-0.0481563386874295,0.0876527470528765,-0.549399081107855,0.582731604553265,0.802236078804321
"ENSMUSG00000039208",1714.76274783121,-0.103910394547716,0.0989330888609128,-1.05030981791947,0.293575692707476,0.562828464052237
"ENSMUSG00000103486",14.9650936916156,0.129109541927673,0.327668751652928,0.394024579018837,0.6935628927116,0.866072594349013
"ENSMUSG00000050640",5.34054117704737,0.496573245828538,0.535675061808854,0.927004598929287,0.353924146499338,0.622153264660954
"ENSMUSG00000090307",78.6498481094872,-0.388333441617313,0.191306528297298,-2.02990167180195,0.042366535128215,0.167141166671262
"ENSMUSG00000026509",8343.72955345148,-0.0334253339741975,0.0434235213523141,-0.769751805778326,0.441447132961587,0.69985745135113
"ENSMUSG00000033590",5.15340771289963,-0.00362642557167515,0.49259685576733,-0.00736185286044138,0.994126144321239,NA
"ENSMUSG00000028670",1870.22765902614,0.046100443674957,0.035572274821391,1.29596557730502,0.19498734450689,0.444228713828684
"ENSMUSG00000066571",550.149669438007,-0.0796662461563774,0.0584423364116181,-1.36315984349558,0.172832139874649,0.413478303543731
"ENSMUSG00000100701",5.18938250601751,-0.156943980677269,0.513957680052921,-0.305363625777726,0.760089221997917,0.899545084136078
"ENSMUSG00000070960",24.8210109287718,0.121788972963928,0.279875308987106,0.435154402882817,0.663450356968084,0.847856503323215
"ENSMUSG00000026547",9042.9563378543,0.00288187410060573,0.046578758640255,0.0618709940911804,0.950665566591479,0.983050838954594
"ENSMUSG00000056019",263.454132611393,-0.00799238475003408,0.0947974388235135,-0.0843101337886742,0.932809855492654,0.976519014264369
"ENSMUSG00000005262",1099.28982260481,0.0811647877159886,0.0448130022365298,1.8111883530496,0.0701117004793679,0.235726128001488
